EXACT SOLUTIONS where
Fitness Function is 0

     a     b     c     d     e     f 
    __    __    __    __    __    __

    29    18     9    16     6     9
    30    25     3     3     5    19
    18    30     4    17    14     2
     4    10    12    25     4    10
    43    31    12    16     1     5
    19    37     7     9     0    15
    39    28    11    18     2     5
    24    30    22    18     0     3
    35     3     2    22     9    10
     7     6    10    18     1    19
    35    15    22    12     5     6
     5    22     0     4     5    25
    29     6    11    26    10     2
    32    17    10    14     8     8
    42    41     0    17     0     8
     3    11     5    19     2    19
    43    40     9     1    16     1
    25     7    20    21     9     2
    29     4    16    15     1    15
    14    40     1     3    25     1
     1     6    28     5     3    18
    39    18     1    18    12     5
    13     5    34     3    11     8
    19    32     4    12    11     7
    26    41    14     5     2    10
     0    18     8    30     0    10
    10     8    26    10    18     1
     1    36     5     7     2    19
     4    31     7     7     1    20
    44    35    40    12    21    30
    41    36    23     1     6     4
    16     8    14     0     2    26
    10    13    20    12    12     6
    32    30    29     7     3     3
    37     2     3    12    20     7
     1     2    21     3    26     5
     1     7    12     3     9    22
     3    27    11     5     8    15
    31     1    10    13    13    10
    29    24    29     5     4     6
    17    17     6     2    17    13
     9    27    14    11    11     6
     6    17     7    22    11     6
    10    24    22     1    14     7
    10    26     4     3     8    19
    36     7    10     5    10    15
    12     8    22     8     6    14
    29    23     2    12     3    16
    37     8    10    32     1     4
     8    12    15    41    34     2
	20    11    13     9     3    18
	41     6    13     4    18     7
	 5     2     9    38     2     7
	15    41     6     1    17     6
	12    13    14    28     0     8
	10     4    30    11    14     3
	17     0     7     0    14    22
	34    23    11     6     5    13
	45     8     5     3    24     8
	 1    32     2     3    17    12
	15    35    10     3    19     3
	41    27    25     1     6     6

Finding these solutions took about 9 minutes.
